longitude,latitude,Address,city,area,pType,subType,,-0,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10
90.03940152,24.23114837,"Basail, Tangail", Tangail,Basail,Admin,Upazilla,,,,,,,,,,,,
89.50218201,22.73122374,"Batiaghata, Khulna", Khulna,Batiaghata,Admin,Upazilla,,,,,,,,,,,,
90.55206299,22.42626253,"Bauphal, Patuakhali", Patuakhali,Bauphal,Admin,Upazilla,,,,,,,,,,,,
91.81677818,22.38912671,"Bayejid Bostami, Chittagong", Chittagong,Bayejid Bostami,Admin,Upazilla,,,,,,,,,,,,
92.15889633,24.84889239,"Beani Bazar, Sylhet", Sylhet,Beani Bazar,Admin,Upazilla,,,,,,,,,,,,
91.10824585,22.94574762,"Begumganj, Noakhali", Noakhali,Begumganj,Admin,Upazilla,,,,,,,,,,,,
90.84931917,24.09852256,"Belabo, Narsingdi", Narsingdi,Belabo,Admin,Upazilla,,,,,,,,,,,,
92.19795227,21.79010706,"Belai Chhari, Rangamati", Rangamati,Belai Chhari,Admin,Upazilla,,,,,,,,,,,,
89.70209131,24.29516773,"Belkuchi, Sirajganj", Sirajganj,Belkuchi,Admin,Upazilla,,,,,,,,,,,,
89.60723877,24.08658926,"Bera, Pabna", Pabna,Bera,Admin,Upazilla,,,,,,,,,,,,
90.15106201,22.41991523,"Betagi, Barguna", Barguna,Betagi,Admin,Upazilla,,,,,,,,,,,,
90.98464966,24.0665282,"Bhairab, Kishoreganj", Kishoreganj,Bhairab,Admin,Upazilla,,,,,,,,,,,,
90.3817749,24.41214007,"Bhaluka, Mymensingh", Mymensingh,Bhaluka,Admin,Upazilla,,,,,,,,,,,,
90.05630493,22.49606365,"Bhandaria, Pirojpur", Pirojpur,Bhandaria,Admin,Upazilla,,,,,,,,,,,,
90.00976252,23.38674871,"Bhanga, Faridpur", Faridpur,Bhanga,Admin,Upazilla,,,,,,,,,,,,
89.3662262,24.21033406,"Bhangura, Pabna", Pabna,Bhangura,Admin,Upazilla,,,,,,,,,,,,
90.51389989,23.23837226,"Bhedarganj, Shariatpur", Shariatpur,Bhedarganj,Admin,Upazilla,,,,,,,,,,,,
88.99887085,24.02765097,"Bheramara, Kushtia", Kushtia,Bheramara,Admin,Upazilla,,,,,,,,,,,,
90.63926697,22.69195275,"Bhola Sadar, Bhola", Bhola,Bhola Sadar,Admin,Upazilla,,,,,,,,,,,,
88.2119751,24.94870939,"Bholahat, Nawabganj", Nawabganj,Bholahat,Admin,Upazilla,,,,,,,,,,,,
89.86953735,24.47215044,"Bhuapur, Tangail", Tangail,Bhuapur,Admin,Upazilla,,,,,,,,,,,,
89.69033003,26.11672619,"Bhurungamari, Kurigram", Kurigram,Bhurungamari,Admin,Upazilla,,,,,,,,,,,,
91.22703552,24.01479381,"Bijoynagar, Brahamanbaria", Brahamanbaria,Bijoynagar,Admin,Upazilla,,,,,,,,,,,,
88.5484314,25.63347879,"Biral, Dinajpur", Dinajpur,Biral,Admin,Upazilla,,,,,,,,,,,,
88.99475098,25.3998634,"Birampur, Dinajpur", Dinajpur,Birampur,Admin,Upazilla,,,,,,,,,,,,
88.65211487,25.86478444,"Birganj, Dinajpur", Dinajpur,Birganj,Admin,Upazilla,,,,,,,,,,,,
91.31505407,25.10976709,"Bishwambarpur, Sunamganj", Sunamganj,Bishwambarpur,Admin,Upazilla,,,,,,,,,,,,
91.73721313,24.87148632,"Bishwanath, Sylhet", Sylhet,Bishwanath,Admin,Upazilla,,,,,,,,,,,,
88.61317706,24.37785857,"Boalia, Rajshahi", Rajshahi,Boalia,Admin,Upazilla,,,,,,,,,,,,
91.91299438,22.37992058,"Boalkhali, Chittagong", Chittagong,Boalkhali,Admin,Upazilla,,,,,,,,,,,,
89.68212628,23.38807351,"Boalmari, Faridpur", Faridpur,Boalmari,Admin,Upazilla,,,,,,,,,,,,
88.47358167,25.79400364,"Bochaganj, Dinajpur", Dinajpur,Bochaganj,Admin,Upazilla,,,,,,,,,,,,
88.55564117,26.20304005,"Boda, Panchagarh", Panchagarh,Boda,Admin,Upazilla,,,,,,,,,,,,
89.37206268,24.85154994,"Bogra Sadar, Bogra", Bogra,Bogra Sadar,Admin,Upazilla,,,,,,,,,,,,
91.10584259,23.61436674,"Brahmanpara, Comilla", Comilla,Brahman Para,Admin,Upazilla,,,,,,,,,,,,
91.11894272,23.95054299,"Brahmanbaria Sadar, Brahamanbaria", Brahamanbaria,Brahmanbaria Sadar,Admin,Upazilla,,,,,,,,,,,,
90.72921753,22.5074823,"Burhanuddin, Bhola", Bhola,Burhanuddin,Admin,Upazilla,,,,,,,,,,,,
91.12094879,23.56375111,"Burichang, Comilla", Comilla,Burichang,Admin,Upazilla,,,,,,,,,,,,
92.00912476,22.24747541,"Chandanaish, Chittagong", Chittagong,Chandanaish,Admin,Upazilla,,,,,,,,,,,,
91.8464756,22.38111106,"Chandgaon, Chittagong", Chittagong,Chandgaon,Admin,Upazilla,,,,,,,,,,,,
91.00559235,23.4922172,"Chandina, Comilla", Comilla,Chandina,Admin,Upazilla,,,,,,,,,,,,
90.65231323,23.23314383,"Chandpur Sadar, Chandpur", Chandpur,Chandpur Sadar,Admin,Upazilla,,,,,,,,,,,,
89.97803434,23.5924941,"Char Bhadrasan, Faridpur", Faridpur,Char Bhadrasan,Admin,Upazilla,,,,,,,,,,,,
90.7649231,22.19884896,"Char Fasson, Bhola", Bhola,Char Fasson,Admin,Upazilla,,,,,,,,,,,,
89.76387168,25.44327494,"Char Rajibpur, Kurigram", Kurigram,Char Rajibpur,Admin,Upazilla,,,,,,,,,,,,
88.74343872,24.29203377,"Charghat, Rajshahi", Rajshahi,Charghat,Admin,Upazilla,,,,,,,,,,,,
90.97503662,23.05572553,"Chatkhil, Noakhali", Noakhali,Chatkhil,Admin,Upazilla,,,,,,,,,,,,
89.30203763,24.22509943,"Chatmohar, Pabna", Pabna,Chatmohar,Admin,Upazilla,,,,,,,,,,,,
91.31629944,23.22872701,"Chauddagram, Comilla", Comilla,Chauddagram,Admin,Upazilla,,,,,,,,,,,,
89.02181494,23.26363767,"Chaugachha, Jessore", Jessore,Chaugachha,Admin,Upazilla,,,,,,,,,,,,
89.75663765,24.1361663,"Chauhali, Sirajganj", Sirajganj,Chauhali,Admin,Upazilla,,,,,,,,,,,,
91.51679993,23.03929775,"Chagalnaiya, Feni", Feni,Chhagalnaiya,Admin,Upazilla,,,,,,,,,,,,
91.65206909,25.04330389,"Chhatak, Sunamganj", Sunamganj,Chhatak,Admin,Upazilla,,,,,,,,,,,,
89.66079712,25.59199418,"Chilmari, Kurigram", Kurigram,Chilmari,Admin,Upazilla,,,,,,,,,,,,
88.77616704,25.65709285,"Chirirbandar, Dinajpur", Dinajpur,Chirirbandar,Admin,Upazilla,,,,,,,,,,,,
89.88052368,22.79010908,"Chitalmari, Bagerhat", Bagerhat,Chitalmari,Admin,Upazilla,,,,,,,,,,,,
91.81523323,22.3234006,"Chittagong Port, Chittagong", Chittagong,Chittagong Port,Admin,Upazilla,,,,,,,,,,,,
88.84779727,23.64012111,"Chuadanga Sadar, Chuadanga", Chuadanga,Chuadanga Sadar,Admin,Upazilla,,,,,,,,,,,,
91.51734478,24.18164677,"Chunarughat, Habiganj", Habiganj,Chunarughat,Admin,Upazilla,,,,,,,,,,,,
91.17115152,23.46979051,"Comilla Adarsha Sadar, Comilla", Comilla,Comilla Adarsha Sadar,Admin,Upazilla,,,,,,,,,,,,
