"adm2_en","adm1_en","bound"
Bagerhat,Khulna,"[[[[89.85633441500005, 21.810072706000028], [89.83995480100003, 21.82975524400007], [89.84128229800007, 21.810011211000074], [89.85633441500005, 21.810072706000028]]], [[[89.60558798900007, 21.71854031600003], [89.58657722400005, 21.764342833000057], [89.60220314200006, 21.777194101000077], [89.60372394600006, 21.80114992500006], [89.54141754300008, 21.850422528000024], [89.53085534200005, 21.822951052000064], [89.54887128300004, 21.80062668100004], [89.53966575100009, 21.78171714700005], [89.54783630000009, 21.771556193000038], [89.53649636100005, 21.772385636000024], [89.54456491500008, 21.745778550000068], [89.56862780300008, 21.715365388000066], [89.60558798900007, 21.71854031600003]]], [[[89.85304751300004, 21.857783478000044], [89.86049588400004, 21.834793852000075], [89.86329528800007, 21.85253348300006], [89.85304751300004, 21.857783478000044]]], [[[89.64430046600006, 21.897814866000033], [89.63111453600004, 21.875746139000057], [89.65410571500007, 21.857437557000026], [89.66060646500006, 21.869737950000058], [89.64430046600006, 21.897814866000033]]], [[[89.66994257100004, 21.75511195400003], [89.69887248200007, 21.772809014000075], [89.69675519400005, 21.79388896000006], [89.66070218900006, 21.821500188000073], [89.62573719000005, 21.863711434000038], [89.62576378900008, 21.88297815800007], [89.64569587300008, 21.911468348000028], [89.62065474700006, 21.945642854000027], [89.58841881300003, 21.94647381900006], [89.57341176800008, 21.935248540000032], [89.54853770200003, 21.877047635000054], [89.55761478700003, 21.85982775900004], [89.58532034000007, 21.866529220000075], [89.59357927700006, 21.874698176000038], [89.57953201700008, 21.891437350000047], [89.59225738500004, 21.898768462000078], [89.60010527600008, 21.889904156000057], [89.59140891200008, 21.897873909000054], [89.58069104200007, 21.89037337800005], [89.59489473900004, 21.872993026000074], [89.55483003900008, 21.854786013000023], [89.61482779200009, 21.80160674600006], [89.61827900700007, 21.783973324000044], [89.60955212200008, 21.764781502000062], [89.66994257100004, 21.75511195400003]]], [[[89.54340602100007, 21.96057689500003], [89.54550341900006, 21.881078311000067], [89.56941935200007, 21.933875047000072], [89.54340602100007, 21.96057689500003]]], [[[89.67296864300005, 21.83685490000005], [89.68193364200005, 21.846721115000037], [89.70630524200004, 21.845479431000058], [89.68828067400005, 21.854784292000033], [89.69742032700003, 21.857285864000062], [89.69451502400005, 21.86496537100004], [89.70130167900004, 21.86409692600006], [89.70355484800007, 21.881462013000032], [89.71238431300009, 21.88802442900004], [89.70245814300006, 21.86314670200005], [89.69050879200006, 21.854628688000048], [89.70929515400007, 21.84734108300006], [89.70063517400007, 21.842118765000066], [89.70817896600005, 21.834195830000056], [89.74175962200007, 21.839988874000028], [89.74086787800007, 21.865947955000024], [89.72891550200006, 21.889402594000046], [89.71165720900007, 21.899843341000064], [89.72720076600007, 21.929176597000037], [89.71090109900007, 21.957116559000042], [89.72165074700007, 21.976927685000078], [89.70428312400009, 21.985072484000057], [89.70380196000008, 22.007015722000062], [89.68647916300006, 21.99264088800004], [89.69494575500005, 21.952784975000043], [89.68171265300003, 21.911740440000074], [89.65848663200006, 21.886689941000043], [89.66925628800004, 21.87012257200007], [89.66613030800005, 21.848745560000054], [89.67296864300005, 21.83685490000005]]], [[[89.56847636600008, 22.037534718000074], [89.54830161300004, 21.96190184200003], [89.57020864700007, 21.941498868000053], [89.58234600100008, 21.952860588000078], [89.56157309700006, 21.975228105000042], [89.59293461200008, 21.992179099000055], [89.60752927800007, 22.015914947000056], [89.56847636600008, 22.037534718000074]]], [[[89.83150554100007, 22.050099948000025], [89.82679827800007, 22.041107056000044], [89.84132915000004, 22.02443687600004], [89.84204292300007, 22.004979567000078], [89.80520286300003, 21.989306678000048], [89.84553081600006, 21.956218401000058], [89.81562501100007, 21.937350835000075], [89.80895602700008, 21.923670069000025], [89.84674925100006, 21.895215524000037], [89.84259052700008, 21.880199525000023], [89.84953873900008, 21.87313039000003], [89.86543395800004, 21.88241888500005], [89.87632068600004, 21.91015674600004], [89.86074304000005, 21.965506654000023], [89.85634902800007, 22.028084050000075], [89.84284200600007, 22.047433885000032], [89.83150554100007, 22.050099948000025]]], [[[89.77743015200008, 21.833421188000045], [89.78794059300003, 21.84204065800003], [89.83586301600008, 21.850270656000077], [89.83672722600005, 21.878335481000022], [89.84508785300005, 21.89149081000005], [89.80719481900007, 21.91860632500004], [89.81362297800007, 21.939840736000065], [89.84304493600007, 21.95607854800005], [89.80340885400005, 21.98911932900006], [89.83704736200008, 22.002064405000056], [89.83992275400004, 22.021094967000067], [89.82224608900003, 22.051960593000047], [89.79973304400005, 22.05274234500007], [89.79777016700007, 22.04210626400004], [89.79875483500007, 22.05357317100004], [89.81988429200004, 22.05370563300005], [89.77611905300006, 22.088785174000066], [89.74203708500005, 22.051997277000055], [89.74573241400003, 22.035987655000042], [89.76050034000008, 22.03057845400008], [89.74299864300008, 22.01593656500006], [89.75213291700004, 21.997177343000033], [89.73735509600004, 21.99060455600005], [89.74848383400007, 21.973363361000054], [89.71514215000008, 21.96035271200003], [89.72496038300005, 21.94111157900005], [89.73365941500003, 21.950159976000066], [89.76734043200008, 21.951966381000034], [89.76541714900009, 21.96134442600004], [89.77018173400006, 21.956268331000047], [89.75906612700004, 21.94778242800004], [89.73128189400006, 21.94755864900003], [89.73182306100006, 21.920078395000075], [89.71630160300003, 21.905422981000072], [89.73418103700004, 21.89187510900007], [89.74889516300004, 21.85565908800004], [89.77199248700003, 21.852457076000064], [89.78002287800007, 21.86249232700004], [89.78377846300003, 21.885421249000046], [89.75460884700004, 21.88473721300005], [89.74808800400007, 21.893713228000024], [89.75649341700006, 21.885474362000025], [89.78361643100004, 21.886950729000034], [89.78460338100007, 21.898928953000052], [89.77560372800008, 21.904605971000024], [89.78569026000008, 21.90873105000003], [89.78117945800005, 21.91902071100003], [89.77069126600009, 21.908573053000055], [89.77305789800005, 21.93585203400005], [89.77189146000006, 21.909932749000063], [89.78121387900006, 21.92085028100007], [89.78812315300007, 21.909116763000043], [89.77900960100004, 21.905136568000046], [89.78675586700007, 21.89835805000007], [89.78305063100004, 21.869410462000076], [89.78774241000008, 21.87752101600006], [89.80779975000007, 21.878151810000077], [89.81262176200005, 21.89044573900003], [89.80811372700003, 21.877254349000054], [89.78792645500005, 21.87538453700006], [89.77045747100004, 21.838909578000028], [89.77743015200008, 21.833421188000045]]], [[[89.58667090800003, 21.950313907000066], [89.62588046300004, 21.948351935000062], [89.64380599800006, 21.96292556700007], [89.64470526200006, 21.982624245000068], [89.62613457000003, 21.978471434000028], [89.61985934500007, 21.99628946100006], [89.62637415000006, 22.00443181600008], [89.64091309200006, 21.99241676500003], [89.66008091000003, 22.01765856000003], [89.65205377900008, 22.03724261800005], [89.65640939900004, 22.051893034000045], [89.66640215500007, 22.055140703000063], [89.65923310900007, 22.072298187000058], [89.64597455200004, 22.07106675600005], [89.64903180100004, 22.098855909000065], [89.62943015700006, 22.10105401800007], [89.59967632100006, 22.085464743000045], [89.59695685200006, 22.091044985000053], [89.57348433200008, 22.05334987300006], [89.57193109600007, 22.046865325000056], [89.59139083700006, 22.039020079000068], [89.58964078700006, 22.052778525000065], [89.60348847000006, 22.053940261000037], [89.60090391500006, 22.065358855000056], [89.60443225200004, 22.054351918000066], [89.59078787100003, 22.052617930000054], [89.59296077800008, 22.038357979000068], [89.57427024400005, 22.045659965000027], [89.56873415700005, 22.039205353000057], [89.61799966200005, 22.026555192000046], [89.63772391500004, 22.03157516600004], [89.61958887500003, 22.040232553000067], [89.62379508800007, 22.06020925100006], [89.63275457600008, 22.063905772000055], [89.62464436400006, 22.05905676800006], [89.62094304600004, 22.040154382000026], [89.63892231600005, 22.032345743000064], [89.61750901700003, 22.02524038000007], [89.59964999700009, 22.028750239000033], [89.60877713600007, 22.01665057100007], [89.60435065800004, 22.00141684700003], [89.56292082300007, 21.974490871000057], [89.58667090800003, 21.950313907000066]]], [[[89.72838719400005, 21.968885189000048], [89.74603243900003, 21.97551095500006], [89.73352271500005, 21.990837511000052], [89.74937391100008, 21.999133092000022], [89.74188117300008, 22.01771885200003], [89.75798167000005, 22.032277201000056], [89.74302861600006, 22.03540974300006], [89.73907525100003, 22.052088292000064], [89.77361062400007, 22.087134900000024], [89.75505277900004, 22.132779347000053], [89.74365382200006, 22.134839765000038], [89.71293933700008, 22.128374200000053], [89.71071253900004, 22.07392217200004], [89.67774365700006, 22.051749519000055], [89.70446969900007, 22.034245042000066], [89.69793395200008, 22.009086070000023], [89.70678170200006, 22.007189912000058], [89.70818264500008, 21.98644368500004], [89.72393234600008, 21.97982571700004], [89.72838719400005, 21.968885189000048]]], [[[89.65721155700004, 21.902763595000067], [89.67694167800005, 21.922691564000047], [89.68565473900009, 21.95650891400004], [89.67633217700006, 21.98823547300003], [89.69897304100004, 22.03245297600006], [89.67243036300005, 22.048571824000078], [89.68120539800003, 22.066038680000077], [89.66685080700006, 22.088044826000043], [89.68302419100007, 22.095794090000027], [89.66379966500006, 22.09967746700005], [89.67761487200005, 22.121307449000028], [89.67536508100005, 22.141266469000072], [89.65816131400004, 22.137367164000068], [89.65946737200005, 22.147972861000028], [89.64851650000008, 22.147970245000067], [89.63712094800007, 22.163254839000047], [89.61446490600008, 22.166811207000023], [89.59844551800006, 22.08771665300003], [89.62861880600008, 22.10210298800007], [89.64907729000004, 22.100430818000063], [89.64734626200004, 22.07172386900004], [89.65938937400006, 22.073828156000047], [89.66797096900007, 22.055801152000072], [89.65756428800006, 22.051477044000023], [89.65400794700008, 22.03760531300003], [89.66177652900006, 22.01879731100007], [89.65538370000007, 22.002296003000026], [89.63936692100003, 21.990548873000023], [89.62368205800004, 21.999836134000077], [89.62626899600008, 21.98100564300006], [89.64838675700008, 21.981054517000075], [89.64521128500007, 21.959390730000052], [89.62846453300006, 21.944915627000057], [89.65721155700004, 21.902763595000067]]], [[[89.60430050200006, 22.12816143400005], [89.61339666000003, 22.167628258000036], [89.60560683400007, 22.180580031000034], [89.61806906900006, 22.198456113000077], [89.60351827000005, 22.20962834100004], [89.60018322300004, 22.226289217000044], [89.60413254700006, 22.23145290700006], [89.62038856000004, 22.21539176600004], [89.61314603800008, 22.241413100000045], [89.60392533700008, 22.24713412500006], [89.61958539800008, 22.257067387000063], [89.60899222900008, 22.270585641000025], [89.62417141000003, 22.276995103000047], [89.61377752700008, 22.28007395900005], [89.62358140200007, 22.292864833000067], [89.61349245600007, 22.29759224700007], [89.59365627000005, 22.275888051000038], [89.59940046900005, 22.252470161000076], [89.59310528200007, 22.22774594300006], [89.55392320100003, 22.20797490500007], [89.55896173400004, 22.190458552000052], [89.60430050200006, 22.12816143400005]]], [[[89.84445266600005, 22.06340937400006], [89.87515498800008, 22.094590948000075], [89.88406360700003, 22.114868813000044], [89.87674198100007, 22.176495170000067], [89.88512652000009, 22.182034591000047], [89.86185723000006, 22.233471370000075], [89.85785879200006, 22.269324685000072], [89.90165149900008, 22.37260509200007], [89.87105595000008, 22.419131708000066], [89.90055165300004, 22.443552116000035], [89.93351145600008, 22.448144848000027], [89.94453716500004, 22.465836438000053], [89.93067271800004, 22.477897831000064], [89.89470103200006, 22.475794017000055], [89.88221233000007, 22.49759085200003], [89.88936621700003, 22.50627032700004], [89.90807601400007, 22.506042687000047], [89.95861601000007, 22.491820792000055], [89.96962125800007, 22.501441726000053], [89.96463440900004, 22.507684108000035], [89.92339242100007, 22.510298973000033], [89.95423858700008, 22.554038320000075], [89.96236277200006, 22.593198323000024], [89.91998355400005, 22.606683505000035], [89.92697483500007, 22.641820695000035], [89.89010838100006, 22.66318461700007], [89.89665324200007, 22.67496210400003], [89.91388390400004, 22.659677350000038], [89.93688224300007, 22.680218146000072], [89.91662817700006, 22.692931964000024], [89.86824653700006, 22.691550867000046], [89.86141146200004, 22.698648241000058], [89.90464008600009, 22.725846859000058], [89.93200057200005, 22.724181672000043], [89.93138333800005, 22.75238187900004], [89.91341593100003, 22.752356494000026], [89.90446610600009, 22.77256392000004], [89.93825779700006, 22.784943284000065], [89.91400352300008, 22.799757854000063], [89.94465820400006, 22.82605282700007], [89.94378017500009, 22.85649355000004], [89.92158647400004, 22.864648914000043], [89.91945533900008, 22.881058061000033], [89.85055696400008, 22.88825378200005], [89.86536136800004, 22.902684673000067], [89.79707634000005, 22.943522373000064], [89.78400033900004, 22.970442529000024], [89.78862608800006, 22.981425603000048], [89.77919078400004, 22.98336679600004], [89.76084705300008, 22.964791585000057], [89.74916269300007, 22.96390688200006], [89.75112147800007, 22.945684852000056], [89.72627120400006, 22.917580711000028], [89.74118685000008, 22.918847263000032], [89.72157414300005, 22.903241948000073], [89.72727738200007, 22.894774965000067], [89.71148610400007, 22.891764883000064], [89.71928522800005, 22.884969225000077], [89.71482401100008, 22.87775192600003], [89.70841367800006, 22.88203181600005], [89.69539749400008, 22.87471563200006], [89.71782072500008, 22.848350636000077], [89.71118419400005, 22.825427760000025], [89.67584581800008, 22.812647498000047], [89.67690064400006, 22.79650623400005], [89.66593277500004, 22.79887162700004], [89.65422211100008, 22.75499445300005], [89.64716244900006, 22.752884893000044], [89.64420517600007, 22.774118748000035], [89.63113314400005, 22.762876617000074], [89.61832718200003, 22.77582617300004], [89.61124771300007, 22.773978928000076], [89.59841292000004, 22.722276916000055], [89.58528907600004, 22.71747053100006], [89.60267147500008, 22.702130553000075], [89.56977053900005, 22.69111979400003], [89.57906227900008, 22.668532827000035], [89.55646890300005, 22.67841571500003], [89.54908781000006, 22.66137420000007], [89.55241408300003, 22.640883183000028], [89.53227664700006, 22.608451056000035], [89.56837371300008, 22.55435492400005], [89.59619120500008, 22.446688536000067], [89.60269459800008, 22.446857685000055], [89.62299645900003, 22.405940990000033], [89.63640877300008, 22.34963198300005], [89.61496355800006, 22.30069446300007], [89.62554887100003, 22.294425239000077], [89.61498562400004, 22.28023210400005], [89.62489789100005, 22.276091386000076], [89.60950507700005, 22.26941045500007], [89.62090410500008, 22.257189889000074], [89.60514118400005, 22.247560562000047], [89.61530214600003, 22.241445318000046], [89.62192031900008, 22.216199381000024], [89.60283485400004, 22.22945233100006], [89.60447049500004, 22.21161367900004], [89.61958552300007, 22.19834475600004], [89.60689264000007, 22.178973339000038], [89.61469173200004, 22.168663779000042], [89.64179241100004, 22.161875855000062], [89.64955240000006, 22.149060268000028], [89.66148873600008, 22.149014892000025], [89.65825677600003, 22.138872718000073], [89.67713917200007, 22.142444458000057], [89.67912560200006, 22.121735043000058], [89.66552198700003, 22.09980833000003], [89.68483052200008, 22.096144563000053], [89.66920326700006, 22.086802850000026], [89.68469698800004, 22.067180965000034], [89.70382696800004, 22.070682848000047], [89.70893592100003, 22.129646329000025], [89.68959326300006, 22.17856009700006], [89.69557874900005, 22.19085358600006], [89.70937206300005, 22.18789292500003], [89.70983423700005, 22.19946759800007], [89.68931262300003, 22.192736143000047], [89.69207768900009, 22.214029939000056], [89.67282551500006, 22.208343112000023], [89.67603055500007, 22.238051744000074], [89.63669844300006, 22.249723034000056], [89.67474115300007, 22.256947728000057], [89.65196278400003, 22.26068786600007], [89.66588098400007, 22.271618585000056], [89.64310857300006, 22.28800422200004], [89.66960234600003, 22.27582994100004], [89.65195628600009, 22.261720296000078], [89.67357772500009, 22.25379893300004], [89.63775188700004, 22.249193211000033], [89.67686180700008, 22.23870273600005], [89.67528841600006, 22.20844657400005], [89.68657440400005, 22.218309885000053], [89.69430351300008, 22.214453381000055], [89.73477902500008, 22.277214254000057], [89.70371239900004, 22.272969499000055], [89.70550980500008, 22.30591245100004], [89.67683739800003, 22.33669804300007], [89.66640254900005, 22.363879564000058], [89.63981008500008, 22.364734750000025], [89.66692239000008, 22.36660357900007], [89.70135375600006, 22.312202548000073], [89.70563629800006, 22.341514775000064], [89.71419532200008, 22.350319511000066], [89.70356992300003, 22.278397131000077], [89.73798064200008, 22.278115538000065], [89.69216182300005, 22.197278484000037], [89.70747709500006, 22.20354690000005], [89.71439527800004, 22.196878285000025], [89.71110836800005, 22.18558773500007], [89.69411224400005, 22.183635786000025], [89.70752139200005, 22.14168667000007], [89.71349538600003, 22.130620231000023], [89.74160467400009, 22.136509879000073], [89.74499633400006, 22.186269365000044], [89.72975747000004, 22.200997063000045], [89.73748204000003, 22.21230517600003], [89.73368531800008, 22.221151812000073], [89.75075994700006, 22.199739497000053], [89.76181375400006, 22.243549177000034], [89.75376066200005, 22.253124279000076], [89.76198128400006, 22.260345053000037], [89.75452878900006, 22.25231602300005], [89.76257743600007, 22.243521214000054], [89.75312181800007, 22.20001045400005], [89.74727513400006, 22.196412304000035], [89.73663682100005, 22.209321630000034], [89.73108723400009, 22.19859612700003], [89.74743531000007, 22.186688745000026], [89.74404964600006, 22.138497636000068], [89.75796623900004, 22.13466935100007], [89.77548041600005, 22.092452869000056], [89.80098586700007, 22.07230251900006], [89.83675459400007, 22.12316153200004], [89.81057911700003, 22.14017509000007], [89.83438336800003, 22.163195356000074], [89.80486968900004, 22.20891376900005], [89.80789554700004, 22.220079334000047], [89.83682022300007, 22.164034628000024], [89.81326831500007, 22.14458756700003], [89.84200860900006, 22.116569264000077], [89.80561098200008, 22.07512854600003], [89.81742019700005, 22.06596306600005], [89.84445266600005, 22.06340937400006]]]]"
Bandarban,Chittagong,"[[[[92.17639948800007, 21.18434799000005], [92.21805629300007, 21.231896404000054], [92.21078920700006, 21.248228333000043], [92.21973967200006, 21.257607997000036], [92.19776015500008, 21.319633375000024], [92.21149798000005, 21.339836197000068], [92.25880615800008, 21.36217825800003], [92.25579692800005, 21.389245431000063], [92.26956297800007, 21.400419707000026], [92.26907105600009, 21.428201571000045], [92.29172276400004, 21.430478444000073], [92.29723632900004, 21.420134349000023], [92.32851673800008, 21.41907588500004], [92.32642228300006, 21.431992489000038], [92.33785412400005, 21.436015096000062], [92.34347101500003, 21.466879196000036], [92.38097549400004, 21.47986773200006], [92.42809569200006, 21.42357494500004], [92.43881551500004, 21.365177892000077], [92.45961254200006, 21.369112176000044], [92.49911058700008, 21.36106563000004], [92.51110312600008, 21.363895728000045], [92.50852176700005, 21.377295360000062], [92.54102879900006, 21.376143460000037], [92.55793592000003, 21.383885861000067], [92.59620362300006, 21.244077865000065], [92.62288099900007, 21.250877014000025], [92.62946869900009, 21.26857989900003], [92.68025738200004, 21.285618725000063], [92.65110895000004, 21.358568047000063], [92.64114868600007, 21.428772442000025], [92.62424549800005, 21.475455150000073], [92.60900808100007, 21.584655961000067], [92.61102806600007, 21.622976056000027], [92.60182550400003, 21.654710117000036], [92.60773157700004, 21.681313697000064], [92.60119787400004, 21.70259641100006], [92.60873519600005, 21.731087991000038], [92.60939292500007, 21.81710598500007], [92.62142519600008, 21.82532930800005], [92.61390871200007, 21.851907425000036], [92.58467774000007, 21.88477692300006], [92.52400980900006, 22.024696176000077], [92.49862162600004, 22.113528478000035], [92.48239961400003, 22.223159553000073], [92.46163628300008, 22.256451119000076], [92.37257783200005, 22.336228826000024], [92.28193042600003, 22.355682115000036], [92.22224678700007, 22.33064808100005], [92.19590851300006, 22.332091882000043], [92.19762129000009, 22.343411702000026], [92.18626408400007, 22.346873913000024], [92.14593679800004, 22.347740998000063], [92.14374167300008, 22.332739506000053], [92.15165676700008, 22.33340294800007], [92.15473837300004, 22.322857901000077], [92.14835267300003, 22.29684444000003], [92.13742900900007, 22.286085247000074], [92.14338023900007, 22.258697788000063], [92.13762656100005, 22.234465799000077], [92.14944815600006, 22.220837145000075], [92.14602456900008, 22.20573138900005], [92.16431130500007, 22.182149167000034], [92.15561032000005, 22.165194473000042], [92.17103391300003, 22.140630427000076], [92.16008554500007, 22.128404300000057], [92.17323481800008, 22.11287731500005], [92.16994094400007, 22.10451094600006], [92.14117012900005, 22.09167331200007], [92.16405217900007, 22.084288196000045], [92.15550975800005, 22.069412503000024], [92.17644738600006, 22.063953449000053], [92.16131192600005, 22.043631921000042], [92.17745590700008, 22.02435359900005], [92.19264257900005, 22.024785913000073], [92.20235869400005, 22.01856693700006], [92.20156971600005, 22.00816646100003], [92.21605208000005, 22.00561366200003], [92.20283538600006, 21.99987532800003], [92.20098873000006, 21.989389982000034], [92.21407967800008, 21.974773179000067], [92.18073795400005, 21.942961341000057], [92.15983631500006, 21.945394814000053], [92.17453910000006, 21.909844425000074], [92.12971878600007, 21.90157451700003], [92.11190398500008, 21.91673461000005], [92.11794121000008, 21.934568739000042], [92.09902410700005, 21.921758973000067], [92.07582492500006, 21.923579105000044], [92.05954393100006, 21.904760561000046], [92.08087879400006, 21.88848000200005], [92.08979837700008, 21.84015301000005], [92.07779016400008, 21.825741661000052], [92.08051918500007, 21.809926177000023], [92.10285571000009, 21.808275611000056], [92.10814030500006, 21.792487121000022], [92.13067464100004, 21.79993922700004], [92.14813295800008, 21.777266110000028], [92.16533285100007, 21.774602944000037], [92.17965809500004, 21.791388451000046], [92.18966411400004, 21.776232617000062], [92.17986801600006, 21.821539699000027], [92.16720434500007, 21.84033566200003], [92.18031771300008, 21.84776637600004], [92.17909679600007, 21.833469869000055], [92.18658390500008, 21.819198122000046], [92.19594032300006, 21.825298374000056], [92.20462955100004, 21.81672620300003], [92.21235719100008, 21.786539496000046], [92.19435453700004, 21.78518663600005], [92.18869385800008, 21.773853907000046], [92.17643089900008, 21.789174037000066], [92.16086265800004, 21.769357609000053], [92.15820027700005, 21.73458872300006], [92.11579776400004, 21.741114570000036], [92.12140541100007, 21.732700376000025], [92.10957454300006, 21.731042365000064], [92.11875735700005, 21.718206863000034], [92.10696147700008, 21.718991162000066], [92.11420814700006, 21.705700231000037], [92.10415818200005, 21.70487006700006], [92.09229933000006, 21.688654851000024], [92.11220547600004, 21.666029396000056], [92.10159813100006, 21.658626930000025], [92.11438135100008, 21.650771161000023], [92.09879564400006, 21.643906409000067], [92.14056443400005, 21.618326039000067], [92.14749938100005, 21.59566054800007], [92.16151122100007, 21.60568962900004], [92.17368248200006, 21.599782928000025], [92.16862778100005, 21.588055557000075], [92.18468222100006, 21.568512312000053], [92.15900560900008, 21.54104785000004], [92.16922865900005, 21.513728566000054], [92.17522410600009, 21.50733574700007], [92.18279431600007, 21.512172019000047], [92.18563906900005, 21.500981182000032], [92.18622079100004, 21.510239829000056], [92.20142725200003, 21.51407084400006], [92.20261577400004, 21.50324649600003], [92.21713930300007, 21.503831415000036], [92.22164097900009, 21.48319598200004], [92.23981591900008, 21.47265840400007], [92.24225126700009, 21.45213299200003], [92.22936900800005, 21.446342711000057], [92.24561646600006, 21.40126587900005], [92.22004897700003, 21.400789565000025], [92.20188080600008, 21.390525511000078], [92.18779267600007, 21.426484543000072], [92.16397900500004, 21.431925040000067], [92.14351967700009, 21.39997634300005], [92.12646001400003, 21.400690627000074], [92.15185509500003, 21.321760227000027], [92.17103977600004, 21.29869860100007], [92.17971466300008, 21.271647096000038], [92.19270036400007, 21.26663082600004], [92.16624098600005, 21.221006758000044], [92.17639948800007, 21.18434799000005]]]]"
