adm3_en,Satkhira,bound
Abhaynagar,Jessore,"[[[[89.35852108700004, 22.922973239000044], [89.37135953700005, 22.934474754000064], [89.39539282800007, 22.933340716000032], [89.39205347900008, 22.938992934000055], [89.40078919100006, 22.94427616200005], [89.40632628300006, 22.956826641000077], [89.42698346900005, 22.961907594000024], [89.43001282300008, 22.994650437000075], [89.43943419100003, 23.007976435000046], [89.46022837500004, 23.007726872000035], [89.48186871600006, 22.96752033200005], [89.48267851700007, 22.952744479000046], [89.51373879200008, 22.92754719000004], [89.51877924500008, 22.930205793000027], [89.52268178800006, 22.943091263000042], [89.54419869800006, 22.95107002000003], [89.55621515800004, 22.962694482000074], [89.56279655800006, 22.970725366000067], [89.56054539100006, 22.983848007000063], [89.54565009200007, 22.977029300000027], [89.53710762500003, 22.984311993000063], [89.53472791800004, 22.99668745500003], [89.53026352500007, 22.996259877000057], [89.52954178500005, 23.006815980000056], [89.50971584700005, 23.01585799700007], [89.50121776500004, 23.033096262000072], [89.48961516300005, 23.037721538000028], [89.46745072200008, 23.032718601000056], [89.45742523700005, 23.040905313000053], [89.45441845100004, 23.05398574900005], [89.44907632700006, 23.050270398000066], [89.44399098000008, 23.054738695000026], [89.44388694600008, 23.066547489000072], [89.45326197200006, 23.06811866000004], [89.44049363100004, 23.073546925000073], [89.44230690500007, 23.114552960000026], [89.41671110100003, 23.083122957000057], [89.39915538300005, 23.08427097200007], [89.40001246500003, 23.076840565000055], [89.37830442000006, 23.087088194000046], [89.38263172700005, 23.09648260800003], [89.36946557800007, 23.097977482000033], [89.36520177500006, 23.10973719200007], [89.35172825900008, 23.110241337000048], [89.34292971100007, 23.094157836000022], [89.32066344600008, 23.096299832000057], [89.32220137200005, 23.09264300700005], [89.30736667800005, 23.097273511000026], [89.30574374300005, 23.092265514000076], [89.31325835000007, 23.086636960000078], [89.31069907000006, 23.081544766000036], [89.31979031900005, 23.069823219000057], [89.31362176800008, 23.067936314000065], [89.31763526300006, 23.056207966000045], [89.32652596800006, 23.052874513000063], [89.32635507400005, 23.045100862000027], [89.33174157400003, 23.040008752000062], [89.32814915700004, 23.029857323000044], [89.33722370000004, 23.02363454500005], [89.33349990500005, 22.991237548000072], [89.33917972100005, 22.99535051600003], [89.33952145200004, 23.010717808000038], [89.34532565800004, 23.00998651900005], [89.34892401100007, 23.01595699300003], [89.35652007400006, 23.013927374000048], [89.35547272400004, 22.984284867000042], [89.36788178400008, 22.965699991000065], [89.36020318600004, 22.94700100400007], [89.36133593900007, 22.938208365000037], [89.35392146900006, 22.934868257000062], [89.35852108700004, 22.922973239000044]]]]"
Adabor,Dhaka,"[[[[90.35889710100008, 23.76241824500005], [90.35915774400007, 23.770564397000044], [90.36556917300004, 23.774932979000027], [90.36203281400003, 23.777422371000057], [90.35079269900007, 23.77825093000007], [90.34231044500007, 23.772055030000047], [90.34953944100005, 23.76218829100003], [90.35889710100008, 23.76241824500005]]]]"
Adamdighi,Bogra,"[[[[88.96364447400003, 24.743352403000074], [88.97472945300007, 24.73886370500003], [88.97496577200008, 24.744939484000042], [88.98005984100007, 24.747109394000063], [88.98981290700004, 24.74348195600004], [88.98915067800004, 24.75448629400006], [88.99724351300006, 24.766351506000035], [89.01167431400006, 24.763944827000046], [89.01419467500006, 24.77006271600004], [89.02125429200004, 24.771421274000033], [89.02110600000003, 24.779767943000024], [89.02520248500008, 24.782077712000046], [89.03724075800005, 24.780854642000065], [89.04906645200003, 24.790543307000064], [89.05467753900007, 24.78079699500006], [89.05963159800007, 24.78642605500005], [89.06306387600006, 24.781314225000074], [89.06892259000006, 24.78486538900006], [89.07165880800005, 24.78193387500005], [89.07721040800004, 24.789137976000063], [89.08841182300006, 24.784744895000074], [89.08177413300007, 24.764686699000038], [89.08779911800008, 24.762964216000057], [89.08500411800009, 24.758841588000053], [89.08898437400006, 24.752711978000036], [89.09625996400007, 24.75142005200007], [89.08412761400007, 24.741765929000053], [89.09691173200008, 24.734481181000035], [89.08819511700005, 24.72715641700006], [89.08337643500005, 24.72999937800006], [89.08352053700008, 24.718637329000046], [89.09896409800007, 24.725817790000065], [89.10713306500008, 24.715310792000025], [89.12063498100008, 24.71442312100004], [89.11797142600005, 24.72096780000004], [89.11070857200008, 24.721571744000073], [89.11540454300007, 24.724636684000075], [89.12831084300007, 24.721125895000057], [89.13017730000007, 24.71406051300005], [89.13165772300005, 24.726092504000064], [89.12768340600007, 24.722621925000055], [89.12640552900007, 24.73106901700004], [89.12315844600005, 24.729905975000065], [89.12903588100005, 24.73285830800006], [89.12636026600006, 24.738565444000074], [89.13326350900007, 24.742453203000025], [89.13607135300003, 24.732468356000027], [89.14254192900006, 24.737894078000068], [89.14213525000008, 24.749560126000063], [89.13709814500004, 24.755568292000078], [89.15578267600006, 24.767039448000048], [89.15471937400008, 24.776908629000047], [89.16732156000006, 24.770071229000052], [89.16815419700004, 24.78005152000003], [89.15958332300005, 24.78248768900005], [89.15816623700005, 24.79330989700003], [89.15226034400007, 24.794618195000055], [89.15514713900006, 24.79864248800004], [89.14758864500004, 24.799248144000046], [89.14688333500004, 24.80576997000003], [89.10564940800003, 24.81057561700004], [89.10301472600008, 24.819306605000065], [89.09607774000006, 24.816561285000034], [89.08290574100005, 24.827771635000033], [89.08582651700004, 24.83757024700003], [89.09897922500005, 24.84131429100006], [89.09480016000003, 24.856570530000056], [89.08026078700004, 24.856491315000028], [89.08964999600005, 24.86784609500006], [89.08523976800006, 24.873073245000057], [89.07722769600008, 24.868796514000053], [89.06572562100007, 24.87293999800005], [89.05427799900008, 24.86076420300003], [89.03975652700007, 24.86352745000005], [89.03538385700006, 24.856374206000055], [89.02027252100004, 24.856960487000038], [89.01507730800006, 24.84886662400004], [89.01055931900004, 24.850390014000027], [89.00950655700007, 24.85861882000006], [88.99002747700007, 24.859442787000035], [88.97417975700006, 24.84867948300007], [88.97885229200006, 24.829494746000023], [88.98729100100007, 24.829129974000068], [88.98798925700004, 24.825436731000025], [88.96990637500005, 24.82332259800006], [88.97330269800005, 24.80914784600003], [88.98215208400006, 24.803113884000027], [88.97740582100005, 24.802737232000027], [88.97651188400005, 24.790062498000054], [88.97091154100008, 24.789481141000067], [88.97778266000006, 24.783656153000038], [88.97480969500003, 24.772506873000054], [88.96633634500006, 24.764226935000067], [88.96332178000006, 24.752973865000058], [88.96758751300007, 24.745182331000024], [88.96238848500008, 24.746721686000058], [88.96364447400003, 24.743352403000074]]]]"
Aditmari,Lalmonirhat,"[[[[89.31599179300008, 25.858102856000073], [89.32786938800007, 25.856736710000064], [89.33504951400005, 25.84955162600005], [89.33530754900005, 25.85839573900006], [89.35046954200004, 25.86217671600008], [89.34937720400006, 25.866755544000057], [89.34628771700005, 25.863892218000046], [89.34677639600005, 25.87881886200006], [89.35219499500005, 25.874798401000078], [89.38022854700006, 25.87457600700003], [89.37723924900007, 25.881214186000022], [89.38518918700004, 25.879838319000044], [89.39219865300004, 25.885193151000067], [89.39037704600008, 25.89579094900006], [89.40066146500004, 25.894642447000024], [89.40199292800008, 25.89885806600006], [89.41615019500006, 25.903463929000054], [89.41647913600008, 25.914097224000045], [89.42261277000006, 25.916043991000038], [89.41628305900008, 25.92229713300003], [89.42061137600007, 25.92281960200006], [89.42618935200005, 25.914280460000043], [89.43647017400008, 25.924598914000057], [89.43758423600008, 25.950879781000026], [89.43214773200003, 25.960959428000024], [89.44074836000004, 25.966697988000078], [89.43730057300007, 25.97731596600005], [89.44273902000003, 25.988357179000047], [89.44032711700004, 25.99158783100006], [89.45985232900006, 25.999843904000045], [89.42741579500006, 26.013241664000077], [89.43389827900006, 26.03053393600004], [89.43262865500003, 26.038908438000078], [89.42378003400006, 26.047010578000027], [89.41891437300006, 26.041984822000074], [89.40739436500007, 26.04161288100005], [89.40313108500004, 26.02766861300006], [89.39080755400005, 26.023039994000044], [89.39244246300007, 26.007230142000026], [89.37232928000003, 26.01221146300003], [89.36769452200008, 26.009557364000045], [89.36608624100006, 25.99132105800004], [89.32827213000007, 25.986705614000073], [89.32354173600004, 25.980282743000032], [89.32689964100007, 25.97382194000005], [89.32151352400007, 25.96981700500004], [89.32471518000006, 25.963351558000056], [89.32120606900008, 25.95446978500007], [89.31156394200008, 25.94436925100007], [89.29973957300007, 25.941710357000034], [89.30205180300004, 25.930968961000076], [89.27505140300008, 25.932515891000037], [89.27964476200003, 25.92881184400005], [89.27944054300008, 25.91595157100005], [89.27457825600004, 25.919424591000052], [89.27680704400007, 25.90393304400004], [89.28780098200008, 25.899986209000076], [89.29278404900003, 25.88049359200005], [89.31599179300008, 25.858102856000073]]], [[[89.42122426700007, 26.080768012000078], [89.42018335400007, 26.088523595000026], [89.39940862100008, 26.095164470000043], [89.39423360800004, 26.087394952000068], [89.40754762600005, 26.078801638000073], [89.41343124100007, 26.081994475000045], [89.41162189800008, 26.077213306000033], [89.42122426700007, 26.080768012000078]]], [[[89.41438684500008, 26.09942929300007], [89.42784733400003, 26.09996300800003], [89.42205575300005, 26.106775828000025], [89.41536400200005, 26.105100406000076], [89.41438684500008, 26.09942929300007]]]]"
Agailjhara,Barisal,"[[[[90.05732775300004, 22.929981831000077], [90.10255329900008, 22.92038627000005], [90.17628119900007, 22.917319014000043], [90.17356491300006, 22.91033339100005], [90.17821835600006, 22.907658248000075], [90.18955376300005, 22.902943708000066], [90.19268290800005, 22.907693308000034], [90.20686456800007, 22.901633137000033], [90.20706984700007, 22.909596543000077], [90.21592657700006, 22.910180404000073], [90.21842966800006, 22.92027087200006], [90.22262907700008, 22.919638339000073], [90.22078933200004, 22.925690571000075], [90.21249357200008, 22.92432935200003], [90.20362901900006, 22.930943373000048], [90.20180995800007, 22.940928341000074], [90.21100110700007, 22.951845279000054], [90.19287348000006, 22.958353303000024], [90.18763151200005, 22.971224466000024], [90.18876612500009, 22.98672801600003], [90.18200191900007, 22.990218344000027], [90.18441508400008, 22.997467193000034], [90.19224394200006, 22.997981829000025], [90.19460634000006, 23.002735639000036], [90.18741665600004, 23.008403787000077], [90.19027228600004, 23.016048347000037], [90.18370009400007, 23.026348615000074], [90.19151792700006, 23.038170910000076], [90.18727332100008, 23.03777005200004], [90.18184170600006, 23.046532053000078], [90.15267671800007, 23.041500213000063], [90.13651434600007, 23.044079359000023], [90.12696711800004, 23.02588430900005], [90.12667042000004, 23.005699780000043], [90.09477670900009, 23.006841103000056], [90.08378959700008, 22.981069009000066], [90.07748507400004, 22.982765440000037], [90.06881604500006, 22.96790474000005], [90.05824483100008, 22.97128470100006], [90.05676279100004, 22.949225272000035], [90.06086096300004, 22.94274328800003], [90.05732775300004, 22.929981831000077]]]]"
Ajmiriganj,Habiganj,"[[[[91.15007198200004, 24.479093242000033], [91.15388960600006, 24.476339152000037], [91.16753248400005, 24.485525084000074], [91.19302887900005, 24.481311229000028], [91.19525533600006, 24.47812336100003], [91.18785321300004, 24.477417536000075], [91.18410014100004, 24.471437184000024], [91.19031487400008, 24.465723402000037], [91.19904332900006, 24.46662348900003], [91.20491086500004, 24.48076144600003], [91.21957179900005, 24.474665078000044], [91.21632474800003, 24.484393339000064], [91.24263031100008, 24.487749603000054], [91.24577342900005, 24.492027809000035], [91.25083632900004, 24.49089554300008], [91.24802248800006, 24.483187135000037], [91.26211122900008, 24.48378798400006], [91.25994113100006, 24.48968372400003], [91.26907912400009, 24.490692541000044], [91.27208001100007, 24.481410093000022], [91.28023284500006, 24.48780690700005], [91.28014750900007, 24.474680396000053], [91.29096001400006, 24.472362432000068], [91.29812200400005, 24.47898685100006], [91.31061860600005, 24.479523483000037], [91.30263171900003, 24.483345763000045], [91.29748814200008, 24.50364148700004], [91.30589936500007, 24.505053297000075], [91.30690689100004, 24.49714483400004], [91.31151761800004, 24.496818707000045], [91.31555995100007, 24.512993859000062], [91.32430964200006, 24.512547093000023], [91.32093759200006, 24.51741004200005], [91.32407585500005, 24.52749178700003], [91.31991413300005, 24.53593250800003], [91.30796616300006, 24.53702259000005], [91.30454068700004, 24.547460100000023], [91.30886412600006, 24.55072596900004], [91.34889108800007, 24.54476882000006], [91.35464819100008, 24.562846697000055], [91.35855380500004, 24.562049628000068], [91.36113246300005, 24.578830630000027], [91.34090655600005, 24.58671186600003], [91.35912573800005, 24.594810390000077], [91.36395212800005, 24.58969697300006], [91.37332572000008, 24.609648074000063], [91.37794702400004, 24.61004885400007], [91.37502183300006, 24.61718780600006], [91.36300041600003, 24.623254711000072], [91.33924482700007, 24.625076012000022], [91.33734662200004, 24.63566138300007], [91.35002349600006, 24.628709024000045], [91.36426254100007, 24.642603429000076], [91.35903122700006, 24.64585418300004], [91.36150701600008, 24.649293055000044], [91.33876089600005, 24.65190726700007], [91.33432006100008, 24.66292664300005], [91.31284479400006, 24.64652543400007], [91.30536903500007, 24.654761609000047], [91.30814601300006, 24.63684837200003], [91.29403940800006, 24.597556831000077], [91.27907967400006, 24.59620713000004], [91.27266306900003, 24.599003869000057], [91.27154861200006, 24.605024568000033], [91.26459222100004, 24.592872656000054], [91.26512199800004, 24.579745047000074], [91.23396119200004, 24.56896290700007], [91.21085638900007, 24.52085531700004], [91.18285840800007, 24.494944876000034], [91.16878199000007, 24.50047111400005], [91.15007198200004, 24.479093242000033]]]]"
Akhaura,Brahamanbaria,"[[[[91.11807582800003, 23.80802241400005], [91.13134148600005, 23.817706116000068], [91.14610672200007, 23.809275816000024], [91.15659760000005, 23.809752936000052], [91.15715390600008, 23.81458165500004], [91.16009321600006, 23.80973627900005], [91.16218516500004, 23.81820037600005], [91.16664118900007, 23.81365220200007], [91.17741184500005, 23.82061757300005], [91.17201170400006, 23.791744984000047], [91.18086267800004, 23.798526062000064], [91.19553210500004, 23.80053713700005], [91.19726074600004, 23.797114432000058], [91.20488584400005, 23.802437699000052], [91.20156858800004, 23.781196652000062], [91.20407155400005, 23.786571071000026], [91.21047988700008, 23.780105375000062], [91.22571967700009, 23.78700408000003], [91.23368577200006, 23.81096904800006], [91.25398788200005, 23.837153675000025], [91.23570745600006, 23.877661016000047], [91.22954634000007, 23.880739884000036], [91.22842842300008, 23.898779259000037], [91.24506809200005, 23.90850118900005], [91.23099408600007, 23.902069526000048], [91.20792119900005, 23.903846474000034], [91.20966850600007, 23.89243377200006], [91.19863853000004, 23.88594825000007], [91.20015772200009, 23.871093126000062], [91.18422448100006, 23.852344662000064], [91.17149315200004, 23.854116185000066], [91.17736298300008, 23.867929857000036], [91.17419907100003, 23.87216200900008], [91.16682706700004, 23.872131139000032], [91.15801941100005, 23.863339667000048], [91.15857641800005, 23.846536729000036], [91.14011853100004, 23.86236522100006], [91.13722543700004, 23.84417155400007], [91.13091312000006, 23.840271314000063], [91.12629123300007, 23.842989174000024], [91.11887179900003, 23.829236497000068], [91.11807582800003, 23.80802241400005]]]]"
Akkelpur,Joypurhat,"[[[[89.01465017900006, 24.84882938000004], [89.02051577000003, 24.857099795000067], [89.03538385700006, 24.856374206000055], [89.04453716600005, 24.864593796000065], [89.05415545300008, 24.860731256000065], [89.06572562100007, 24.87293999800005], [89.07722769600008, 24.868796514000053], [89.08970606700007, 24.875140887000043], [89.07557161900007, 24.885165993000044], [89.08082302300005, 24.893174653000074], [89.08991833300007, 24.88763202100006], [89.09798720400005, 24.891386926000052], [89.10054976100008, 24.903357733000064], [89.09460059900005, 24.904116996000027], [89.08346093700004, 24.92780543500004], [89.09542460700004, 24.943812851000075], [89.08811266800006, 24.960688579000077], [89.09996534800007, 24.962749083000062], [89.10330545300008, 24.970883125000057], [89.10097926000003, 24.97786207100006], [89.07938425600008, 24.976501374000065], [89.07434565300008, 24.982066170000053], [89.06179771600006, 24.98152366200003], [89.05697439600004, 24.98483611900008], [89.05954021200006, 24.994684755000037], [89.04755740400003, 24.98932463400007], [89.05275064300008, 24.993713812000067], [89.05086686000004, 24.99862166300005], [89.04530954900008, 24.996691421000037], [89.04541708700003, 25.015190774000075], [89.01652901700004, 25.047290789000044], [89.00952904300004, 25.036339698000063], [89.01869731500005, 25.026244860000077], [89.00925732400003, 25.021228576000055], [89.01783280900008, 25.017964592000055], [89.00928245000006, 25.008102111000028], [89.01206813400006, 24.982289466000054], [89.00001870300008, 24.972717585000055], [89.00373164300004, 24.969326197000044], [89.00374671900005, 24.95795599300004], [88.99935810400007, 24.953760205000037], [89.00427283200008, 24.930867341000067], [88.99978244700009, 24.90974403200005], [89.00751920200008, 24.89920982900003], [88.98989438900009, 24.875211243000024], [88.99452213100005, 24.868217383000058], [88.99016557700008, 24.85889117200003], [89.00950655700007, 24.85861882000006], [89.01465017900006, 24.84882938000004]]]]"
Alamdanga,Chuadanga,"[[[[89.00686594600006, 23.621529691000035], [89.01045132700006, 23.626973419000024], [89.00404715000008, 23.641781381000044], [89.00869007900008, 23.641148417000068], [89.01192665600007, 23.65598865800007], [89.00608290500008, 23.66883802500007], [89.00693340500004, 23.69188758200005], [89.01083419500009, 23.707043635000048], [89.01726061300008, 23.70874473600003], [89.00758370700004, 23.72277649700004], [89.00633208100004, 23.74791510600005], [88.98955154100008, 23.752311432000056], [89.00596859500007, 23.786681955000063], [88.99964304000008, 23.781987516000072], [88.97665989600006, 23.789011952000067], [88.97417160900005, 23.801542049000034], [88.95761054500008, 23.808961689000057], [88.94746385000008, 23.80108500500006], [88.93762064700007, 23.804015449000076], [88.93889573600006, 23.79639482700003], [88.93327620500008, 23.79811723100005], [88.92616563700005, 23.788960744000065], [88.91109644800008, 23.78390590400005], [88.92222585900004, 23.816404313000078], [88.90701348000005, 23.83812626100007], [88.90322035900004, 23.83974924000006], [88.89287820400006, 23.827340630000037], [88.87734132500003, 23.833545155000024], [88.86409729900004, 23.829446095000037], [88.84888500200003, 23.831727112000067], [88.84365117000004, 23.820447331000025], [88.83211689100006, 23.814279507000037], [88.81790193900008, 23.771172619000026], [88.79696409100006, 23.768638526000075], [88.79311050300004, 23.772646567000038], [88.78848046300004, 23.767486763000022], [88.78650174900008, 23.742338329000063], [88.77884351800003, 23.73255867100005], [88.77897387200005, 23.721791021000058], [88.78411403600006, 23.71738811000006], [88.77343714100004, 23.698413741000024], [88.79309326500004, 23.700467092000054], [88.80451308300007, 23.68143232600005], [88.81743492400005, 23.685579868000048], [88.83462432600004, 23.683233306000034], [88.83375882400009, 23.69066080500005], [88.84431838600005, 23.691915205000043], [88.85069548700005, 23.67497387000003], [88.85221541900006, 23.68076191600005], [88.86354311800005, 23.680728040000076], [88.87952483400005, 23.690012076000073], [88.88700187400008, 23.685064209000075], [88.90087864700007, 23.68875902700006], [88.90593431800005, 23.682312395000054], [88.90144025100005, 23.66909781800007], [88.91434625400007, 23.650635513000054], [88.91290999500006, 23.636755062000077], [88.92880066100008, 23.620364110000025], [88.93535144700007, 23.62674495500005], [88.94290306100004, 23.621527128000025], [88.97836590000009, 23.62231898400006], [88.98244168300005, 23.615360768000073], [88.99644476000003, 23.625555206000058], [89.00686594600006, 23.621529691000035]]]]"
